period,account_code,account_name,account_type,amount_usd,txn_count
2023-01,4000,Subscription Revenue,revenue,667238.93,506
2023-01,4010,Usage Revenue,revenue,17952.98,112
2023-01,5000,Hosting & Infrastructure,cogs,-116830.57,4
2023-01,5010,Payment Processing,cogs,-16587.91,1
2023-01,5020,Customer Support,cogs,-7855.87,1
2023-01,6000,Payroll,opex,-383189.86,2
2023-01,6010,Contractors,opex,-88233.82,4
2023-01,6020,Software & Tools,opex,-42127.72,43
2023-01,6030,Marketing,opex,-137852.08,8
2023-01,6050,Travel & Events,opex,-150287.0,30
2023-01,6060,Facilities,opex,-73307.13,13
2023-02,4000,Subscription Revenue,revenue,674442.33,524
2023-02,4010,Usage Revenue,revenue,20741.27,111
2023-02,4020,Professional Services,revenue,72373.26,5
2023-02,4090,Credits & Refunds,revenue,-31.97,2
2023-02,5000,Hosting & Infrastructure,cogs,-124373.83,4
2023-02,5010,Payment Processing,cogs,-17556.07,1
2023-02,5020,Customer Support,cogs,-6888.65,1
2023-02,6000,Payroll,opex,-381959.9,2
2023-02,6010,Contractors,opex,-113467.85,4
2023-02,6020,Software & Tools,opex,-47173.44,32
2023-02,6030,Marketing,opex,-153644.05,12
2023-02,6040,Legal & Professional,opex,-147524.65,3
2023-02,6050,Travel & Events,opex,-179429.25,27
2023-02,6060,Facilities,opex,-67690.75,15
2023-03,4000,Subscription Revenue,revenue,679079.22,535
2023-03,4010,Usage Revenue,revenue,22442.02,113
2023-03,4020,Professional Services,revenue,12259.64,2
2023-03,4090,Credits & Refunds,revenue,-403.26,8
2023-03,5000,Hosting & Infrastructure,cogs,-116393.26,4
2023-03,5010,Payment Processing,cogs,-16594.42,1
2023-03,5020,Customer Support,cogs,-7092.72,1
2023-03,6000,Payroll,opex,-571304.72,3
2023-03,6010,Contractors,opex,-75268.91,3
2023-03,6020,Software & Tools,opex,-68271.8,41
2023-03,6030,Marketing,opex,-201827.66,9
2023-03,6040,Legal & Professional,opex,-79627.4,3
2023-03,6050,Travel & Events,opex,-71601.04,38
2023-03,6060,Facilities,opex,-74528.29,15
2023-04,4000,Subscription Revenue,revenue,707775.95,552
2023-04,4010,Usage Revenue,revenue,20643.37,113
2023-04,4020,Professional Services,revenue,58842.08,3
2023-04,4090,Credits & Refunds,revenue,-255.82,4
2023-04,5000,Hosting & Infrastructure,cogs,-123409.27,4
2023-04,5010,Payment Processing,cogs,-21327.55,1
2023-04,5020,Customer Support,cogs,-6708.59,1
2023-04,6000,Payroll,opex,-389292.43,2
2023-04,6010,Contractors,opex,-53768.74,2
2023-04,6020,Software & Tools,opex,-55701.6,39
2023-04,6030,Marketing,opex,-155908.19,8
2023-04,6040,Legal & Professional,opex,-72678.28,2
2023-04,6050,Travel & Events,opex,-202819.48,31
2023-04,6060,Facilities,opex,-69110.9,16
2023-05,4000,Subscription Revenue,revenue,745518.1,573
2023-05,4010,Usage Revenue,revenue,15505.32,111
2023-05,4020,Professional Services,revenue,117882.84,4
2023-05,4090,Credits & Refunds,revenue,-700.01,5
2023-05,5000,Hosting & Infrastructure,cogs,-128503.39,4
2023-05,5010,Payment Processing,cogs,-21137.9,1
2023-05,5020,Customer Support,cogs,-7167.54,1
2023-05,6000,Payroll,opex,-391103.56,2
2023-05,6010,Contractors,opex,-165274.4,5
2023-05,6020,Software & Tools,opex,-84398.66,56
2023-05,6030,Marketing,opex,-147255.17,10
2023-05,6040,Legal & Professional,opex,-93505.17,2
2023-05,6050,Travel & Events,opex,-57943.2,31
2023-05,6060,Facilities,opex,-70969.84,16
2023-06,4000,Subscription Revenue,revenue,767978.65,587
2023-06,4010,Usage Revenue,revenue,31226.31,97
2023-06,4020,Professional Services,revenue,17304.09,2
2023-06,5000,Hosting & Infrastructure,cogs,-465603.69,5
2023-06,5010,Payment Processing,cogs,-18705.86,1
2023-06,5020,Customer Support,cogs,-7781.67,1
2023-06,6000,Payroll,opex,-392700.48,2
2023-06,6010,Contractors,opex,-41224.32,1
2023-06,6020,Software & Tools,opex,-248202.36,45
2023-06,6030,Marketing,opex,-218825.1,13
2023-06,6040,Legal & Professional,opex,-10638.01,3
2023-06,6050,Travel & Events,opex,-131807.48,40
2023-06,6060,Facilities,opex,-85338.61,21
2023-07,4000,Subscription Revenue,revenue,777395.07,587
2023-07,4010,Usage Revenue,revenue,24476.03,123
2023-07,4020,Professional Services,revenue,63857.86,3
2023-07,4090,Credits & Refunds,revenue,-2157.46,5
2023-07,5000,Hosting & Infrastructure,cogs,-135231.0,4
2023-07,5010,Payment Processing,cogs,-19329.54,1
2023-07,5020,Customer Support,cogs,-8336.94,1
