account_id,customer,industry,regime_state,previous_mrr,current_mrr
0,Account 000000,Energy,stable,90.3280558200,102.0937543000
1,Account 000001,Health,growth,336.5521291000,364.2359460000
2,Account 000002,Manufacturing,stable,57.4357158700,76.0470383200
3,Account 000003,Logistics,growth,50.0000000000,67.8739635600
4,Account 000004,Consulting,decline,74.0784521400,67.2365343100
5,Account 000005,Fintech,growth,91.8109764200,102.8904015000
6,Account 000006,SaaS,stable,573.3760506000,300.4539315000
7,Account 000007,Media,growth,174.7234979000,246.4873099000
8,Account 000008,SaaS,growth,338.4246116000,380.2115494000
9,Account 000009,Health,stable,64.1456661100,74.6554117600
10,Account 000010,EdTech,decline,50.0000000000,54.6151035300
11,Account 000011,Fintech,stable,719.2336558000,1564.9037310000
12,Account 000012,Consulting,growth,67.5706294500,72.5223472000
13,Account 000013,Health,stable,78.7479089000,77.2727665500
14,Account 000014,Consulting,decline,70.4055962700,83.5620707300
15,Account 000015,Media,stable,349.9737195000,437.9275888000
16,Account 000016,Health,growth,61.9727455200,68.6828693500
17,Account 000017,SaaS,growth,125.6496770000,132.3436140000
18,Account 000018,Consulting,stable,50.0000000000,71.4532919400
19,Account 000019,Health,growth,64.7857470600,60.6457574900
20,Account 000020,Manufacturing,growth,100.5885393000,121.6992456000
21,Account 000021,EdTech,growth,190.5294466000,278.8392358000
22,Account 000022,Health,growth,75.2432488900,110.1358639000
23,Account 000023,Fintech,growth,68.3634705400,91.8358183400
24,Account 000024,Consulting,stable,61.9272822000,71.0614678300
25,Account 000025,Manufacturing,growth,142.5708489000,173.5112424000
26,Account 000026,Manufacturing,growth,100.8086421000,67.9986860500
27,Account 000027,Manufacturing,stable,56.3174735900,78.5070416700
28,Account 000028,Health,stable,51.9061435900,58.4645704000
29,Account 000029,Logistics,stable,55.4260357100,50.2843097600
30,Account 000030,SaaS,stable,87.6211998800,50.0000000000
31,Account 000031,Consulting,stable,142.0965477000,166.5412555000
32,Account 000032,Logistics,stable,104.8046141000,98.4904139400
33,Account 000033,Logistics,stable,155.7783674000,129.7164121000
34,Account 000034,EdTech,stable,1913.6701340000,2534.3335010000
35,Account 000035,Energy,stable,87.5008630000,85.0368646800
36,Account 000036,Energy,stable,119.4240201000,122.0993370000
37,Account 000037,Consulting,growth,50.0000000000,50.0000000000
38,Account 000038,Health,stable,70.9078461500,64.8139103300
39,Account 000039,Fintech,decline,97.5136294700,98.6141499100
40,Account 000040,SaaS,stable,65.2520619100,60.6324872600
41,Account 000041,Logistics,stable,65.7812580500,70.0447113900
42,Account 000042,Logistics,decline,190.8434532000,165.7702684000
43,Account 000043,Media,stable,171.4910423000,159.6722542000
44,Account 000044,Retail,stable,84.6036970900,50.0000000000
45,Account 000045,Retail,stable,74.2239256300,70.7064857000
46,Account 000046,Consulting,growth,81.5979378800,98.9831205000
47,Account 000047,Logistics,stable,233.4561156000,321.6268274000
48,Account 000048,Logistics,growth,96.5794873900,123.3571844000
49,Account 000049,Fintech,growth,149.2602244000,149.8230088000
50,Account 000050,SaaS,decline,2669.0728160000,2888.9745390000
51,Account 000051,SaaS,growth,79.3769129700,76.1875345300
52,Account 000052,SaaS,stable,180.0798191000,220.9977091000
53,Account 000053,Retail,decline,76.0833039300,86.3655255000
54,Account 000054,SaaS,stable,61.9375572500,50.0000000000
55,Account 000055,Logistics,stable,2869.8675520000,2865.7305670000
56,Account 000056,Logistics,stable,74.8056099300,79.9888571800
57,Account 000057,Energy,growth,180.2425893000,152.7668861000
58,Account 000058,Health,growth,77.3653002500,90.7957020800
59,Account 000059,Logistics,growth,69.2706593400,80.7706569700
60,Account 000060,Media,stable,50.0000000000,67.3798453800
61,Account 000061,Health,decline,58.4231780100,64.8187899700
62,Account 000062,SaaS,growth,92.4310652700,97.6845527800
63,Account 000063,Retail,stable,64.0133062000,63.9948883200
64,Account 000064,Logistics,stable,65.9875834400,72.9758546500
65,Account 000065,Logistics,decline,2671.6133130000,3518.7227780000
66,Account 000066,Fintech,stable,131.5137503000,137.4091253000
67,Account 000067,Media,growth,50.0000000000,50.0000000000
68,Account 000068,SaaS,decline,61.6305127800,50.0000000000
69,Account 000069,Health,stable,2663.3007080000,3121.2861330000
70,Account 000070,Media,stable,312.2482935000,380.1782532000
71,Account 000071,Health,stable,64.9831295000,71.1982766900
72,Account 000072,Health,decline,56.5443422400,50.0000000000
73,Account 000073,Media,stable,57.0952436000,50.0000000000
74,Account 000074,SaaS,growth,344.8762827000,376.7269597000
75,Account 000075,EdTech,stable,55.3018796200,60.0388341800
76,Account 000076,Manufacturing,stable,150.4980447000,139.6718229000
77,Account 000077,Media,growth,74.6305192900,50.0000000000
78,Account 000078,Media,growth,141.5469692000,182.6426398000
79,Account 000079,Media,stable,75.4116244100,98.0448742100
80,Account 000080,Fintech,decline,106.8109021000,119.0383913000
81,Account 000081,Manufacturing,growth,50.0000000000,62.8139302200
82,Account 000082,Energy,growth,50.0788184000,64.2405242100
83,Account 000083,Media,growth,62.6540075700,62.6757258900
84,Account 000084,Media,growth,322.8270139000,332.2109140000
85,Account 000085,Fintech,growth,52.0674454400,52.4600157400
86,Account 000086,Media,growth,103.6058588000,133.9497078000
87,Account 000087,Energy,stable,58.5199933300,67.8850083300
88,Account 000088,Retail,growth,136.9654164000,178.1387167000
89,Account 000089,Fintech,stable,50.0000000000,66.3812122500
90,Account 000090,Manufacturing,stable,79.9716869800,89.5250292600
91,Account 000091,Fintech,decline,64.2946705900,64.3221386200
92,Account 000092,SaaS,growth,111.4351754000,50.0000000000
93,Account 000093,Consulting,growth,78.4139856500,79.6847203100
94,Account 000094,Health,stable,107.8235653000,124.4681158000
95,Account 000095,Energy,growth,50.0000000000,50.0000000000
96,Account 000096,Consulting,growth,58.7065185400,53.7448710200
97,Account 000097,Retail,stable,52.2075366400,71.6301880800
98,Account 000098,Retail,stable,50.0000000000,55.9557673100
99,Account 000099,Manufacturing,stable,56.3830800200,71.8830895300
100,Account 000100,Manufacturing,stable,50.0000000000,57.0854344800
101,Account 000101,Logistics,decline,368.8065159000,368.7167500000
102,Account 000102,Consulting,growth,61.2566675000,73.8713337700
103,Account 000103,Manufacturing,stable,94.8534388500,103.8534162000
104,Account 000104,Logistics,growth,213.9401426000,255.3579929000
105,Account 000105,Logistics,growth,1603.0239440000,2250.6651720000
106,Account 000106,Media,growth,109.3781244000,146.2998715000
107,Account 000107,EdTech,decline,352.7487239000,401.0035934000
