month,total_mrr,previous_mrr,net_change,expansion,losses,churn_mrr,churned,active_customers,largest_account_mrr,timestamp
1,60136957.3406607285,0.0000000000,-18480684.1192237139,3797570.6414096011,-22278252.7606329061,0.0000000000,0,50000,31915.2154300000,2026-01-27 16:53:47
2,42014558.7611671984,60136957.3406607285,-16396139.8047859818,1995962.3152057985,-18394513.6199920513,0.0000000000,0,50000,72199.7650800000,2026-02-27 16:53:47
3,25838954.5375704914,42014558.7611671984,-9252791.2678488884,1193156.6332441929,-10448537.9010932185,0.0000000000,0,50000,42235.1644900000,2026-03-27 16:53:47
4,16703157.9260477200,25838954.5375704914,-4461025.2617275501,833204.7415750868,-5296887.5033022789,0.0000000000,0,50000,20593.7860000000,2026-04-27 16:53:47
5,12344330.1151087303,16703157.9260477200,-2463223.9194674459,667783.1682066513,-3133612.0876741521,0.0000000000,0,50000,26341.2813300000,2026-05-27 16:53:47
6,9947317.7887458801,12344330.1151087303,-1419438.2811172358,568637.3814718891,-1990537.6625881314,0.0000000000,0,50000,24593.3164000000,2026-06-27 16:53:47
7,8565133.4549423996,9947317.7887458801,-769899.5022308184,572656.1342526606,-1344732.6364835666,0.0000000000,0,50000,20319.3781800000,2026-07-27 16:53:47
8,7905504.2492837198,8565133.4549423996,-460529.0024836668,603672.2468022053,-1066166.2492858965,0.0000000000,0,50000,26454.3475700000,2026-08-27 16:53:47
9,7489137.5371301901,7905504.2492837198,-272309.1400155712,598648.9564555165,-872816.0964712078,0.0000000000,0,50000,20490.2470700000,2026-09-27 16:53:47
10,7264618.8210400604,7489137.5371301901,159559.0602781357,749490.5115189864,-592177.9512408968,0.0000000000,0,50000,23539.1108800000,2026-10-27 16:53:47
11,7466074.3131041396,7264618.8210400604,247560.9616164094,850318.4386948581,-603849.9770787213,0.0000000000,0,50000,21708.2383100000,2026-11-27 16:53:47
12,7807208.2945286203,7466074.3131041396,333250.3168990613,938150.6744083147,-605966.8575091569,0.0000000000,0,50000,45708.3678800000,2026-12-27 16:53:47
13,8210026.6741717299,7807208.2945286203,637194.5064399408,1143784.4308090208,-507472.4243689692,0.0000000000,0,50000,31489.4598200000,2027-01-27 16:53:47
14,8967008.8189708591,8210026.6741717299,810562.4991956102,1365117.7969272069,-555298.2977316675,0.0000000000,0,50000,77423.0764700000,2027-02-27 16:53:47
15,9836431.9517908394,8967008.8189708591,1080005.9196035659,1622801.7413175136,-543424.8217140314,0.0000000000,0,50000,63073.2777400000,2027-03-27 16:53:47
16,10998137.1536107101,9836431.9517908394,1463056.8103676550,1994409.3298233012,-531880.5194553959,0.0000000000,0,50000,50187.2418300000,2027-04-27 16:53:47
17,12570097.0498230793,10998137.1536107101,873084.2457184305,1565417.6342748029,-693014.8885562542,0.0000000000,0,50000,74255.4653100000,2027-05-27 16:53:47
18,15491450.1867849194,12570097.0498230793,3223712.1973058409,3900002.4970324649,-676943.7997269802,0.0000000000,0,50000,2000000.0000000000,2027-06-27 16:53:47
19,17853082.6937016994,15491450.1867849194,2379693.9797411389,3083502.9009012915,-704442.4211602797,0.0000000000,0,50000,3000000.0000000000,2027-07-27 16:53:47
20,20924342.4645174295,17853082.6937016994,2998747.0014268933,3897405.7307623560,-899240.7293355067,0.0000000000,0,50000,4500000.0000000000,2027-08-27 16:53:47
21,24584440.6829444319,20924342.4645174295,3971641.7236525230,4791725.9550701668,-820684.2314174466,0.0000000000,0,50000,6500000.0000000000,2027-09-27 16:53:47
22,28603353.2239660583,24584440.6829444282,4250884.2795536108,5099147.4504758855,-848785.1709225479,0.0000000000,0,50000,8500000.0000000000,2027-10-27 16:53:47
23,34554772.2991529256,28603353.2239660583,6573305.5971078593,7402943.6066919388,-830169.5095840133,0.0000000000,0,50000,12000000.0000000000,2027-11-27 16:53:47
